Time,Idc_bat_Discharge,Vdc_bat_Discharge
263.5,1058.10684,363.77933
264,1058.104425,363.7783
264.5,1058.13015,363.7772
265,1058.176014,363.77597
265.5,1058.12532,363.77505
266,1058.1732,363.77383
266.5,1058.204217,363.7727
267,1058.191323,363.7717
267.5,1058.17782,363.7707
268,1058.214654,363.76953
268.5,1058.232735,363.76843
269,1058.231013,363.76736
269.5,1058.221395,363.76636
270,1058.197875,363.76535
270.5,1058.15577,363.76443
271,1058.149428,363.76337
271.5,1058.174607,363.76224
272,1058.17383,363.7612
272.5,1058.19462,363.76007
273,1058.27526,363.75876
273.5,1058.262156,363.75775
274,1058.254722,363.75674
274.5,1058.26224,363.75568
275,1058.260224,363.7546
275.5,1058.301888,363.75342
276,1058.31369,363.75235
276.5,1058.321355,363.75128
277,1058.34414,363.75018
277.5,1058.362578,363.74905
278,1058.444163,363.74777
278.5,1058.479023,363.7466
279,1058.454222,363.74564
279.5,1058.467494,363.74454
280,1058.541498,363.74323
280.5,1058.537214,363.7422
281,1058.534463,363.74115
281.5,1058.582133,363.73996
282,1058.577912,363.73892
282.5,1058.56317,363.7379
283,1058.584632,363.73676
283.5,1058.54784,363.73584
284,1058.531754,363.73483
284.5,1058.48253,363.73392
285,1058.453907,363.73294
285.5,1058.479464,363.7318
286,1058.492988,363.73074
286.5,1058.48799,363.7297
287,1058.457288,363.72876
287.5,1058.42835,363.72778
288,1058.516193,363.72647
288.5,1058.55477,363.7253
289,1058.555736,363.72424
289.5,1058.574384,363.72314
290,1058.540343,363.7222
290.5,1058.46111,363.72137
291,1058.424234,363.72043
291.5,1058.353863,363.7196
292,1058.370768,363.7185
292.5,1058.42394,363.7173
293,1058.476965,363.71606
293.5,1058.525874,363.71487
294,1058.530473,363.7138
294.5,1058.547588,363.71268
295,1058.48988,363.7118
295.5,1058.49849,363.71072
296,1058.4966,363.70966
296.5,1058.52558,363.70853
297,1058.439354,363.70773
297.5,1058.40168,363.7068
298,1058.40021,363.70575
298.5,1058.367828,363.70477
299,1058.344182,363.7038
299.5,1058.331225,363.7028
300,1058.363796,363.70163
300.5,1058.4231,363.7004
301,1058.438136,363.6993
301.5,1058.437233,363.69827
302,1058.419236,363.69727
302.5,1058.41365,363.69626
303,1058.359554,363.69537
303.5,1058.307453,363.6945
304,1058.315664,363.69342
304.5,1058.2845,363.69247
305,1058.23452,363.69156
305.5,1058.14884,363.69077
306,1058.165178,363.68967
306.5,1058.202936,363.68848
307,1058.203692,363.68744
307.5,1058.20155,363.6864
308,1058.220303,363.6853
308.5,1058.114883,363.68457
309,1058.05896,363.6837
309.5,1058.08353,363.68256
310,1058.087772,363.6815
310.5,1058.084433,363.68048
311,1058.10138,363.67938
311.5,1058.13141,363.67822
312,1058.10474,363.67728
312.5,1058.062257,363.67657
313,1058.093526,363.6754
313.5,1058.076306,363.6744
314,1058.059695,363.67343
314.5,1058.037393,363.67245
315,1058.048103,363.67136
315.5,1058.075655,363.67023
316,1058.031765,363.6693
316.5,1058.0283,363.66827
317,1058.05161,363.66714
317.5,1058.02767,363.6662
318,1058.050476,363.66507
318.5,1058.01087,363.66415
319,1058.111292,363.6628
319.5,1058.139285,363.66168
320,1058.13792,363.66064
320.5,1058.113266,363.65967
321,1058.130444,363.65857
321.5,1058.108478,363.6576
322,1058.129877,363.65646
322.5,1058.128722,363.65543
323,1058.10957,363.65445
323.5,1058.13519,363.65332
324,1058.083152,363.65244
324.5,1058.10579,363.6513
325,1058.09886,363.65027
325.5,1058.086365,363.64926
326,1058.090586,363.6482
326.5,1058.128848,363.64703
327,1058.170512,363.64587
327.5,1058.21961,363.64465
328,1058.219148,363.64362
328.5,1058.241828,363.64252
329,1058.234142,363.6415
329.5,1058.21541,363.6405
330,1058.210118,363.6395
330.5,1058.277906,363.63824
331,1058.313102,363.6371
331.5,1058.336097,363.636
332,1058.33721,363.63492
332.5,1058.352456,363.63382
333,1058.392377,363.63266
333.5,1058.39391,363.6316
334,1058.37102,363.63065
334.5,1058.40525,363.6295
335,1058.428455,363.62836
335.5,1058.444163,363.6273
336,1058.474025,363.62613
