Time,Battery inverter.Idc_bat,Battery inverter.Vdc_bat
255.5,-1230.2965,363.86386
256,-1230.2996,363.86493
256.5,-1230.2987,363.86603
257,-1230.2944,363.86707
257.5,-1230.3038,363.86804
258,-1230.2946,363.86908
258.5,-1230.2644,363.86993
259,-1230.3035,363.8713
259.5,-1230.3047,363.8724
260,-1230.2832,363.87354
260.5,-1230.2874,363.87485
261,-1230.3062,363.8759
261.5,-1230.3098,363.87698
262,-1230.2848,363.87805
262.5,-1230.2479,363.87985
263,-1230.2604,363.88116
263.5,-1230.2957,363.88226
264,-1230.3245,363.88345
264.5,-1230.2894,363.88492
265,-1230.2678,363.88602
265.5,-1230.2804,363.88715
266,-1230.29,363.8882
266.5,-1230.3026,363.88943
267,-1230.3464,363.89075
267.5,-1230.3698,363.89197
268,-1230.3593,363.89334
268.5,-1230.3462,363.89426
269,-1230.3348,363.89517
269.5,-1230.3346,363.89624
270,-1230.3523,363.89734
270.5,-1230.3685,363.89835
271,-1230.3859,363.8994
271.5,-1230.3945,363.90048
272,-1230.3822,363.90155
272.5,-1230.3845,363.9027
273,-1230.4191,363.90402
273.5,-1230.4304,363.9051
274,-1230.4639,363.90625
274.5,-1230.4287,363.90735
275,-1230.4243,363.90845
275.5,-1230.4259,363.90955
276,-1230.4475,363.91068
276.5,-1230.4624,363.91177
277,-1230.4856,363.91296
277.5,-1230.4556,363.91385
278,-1230.4081,363.91486
278.5,-1230.3881,363.91586
279,-1230.3833,363.91708
279.5,-1230.3646,363.91818
280,-1230.3003,363.91922
280.5,-1230.2859,363.92017
281,-1230.2634,363.9209
281.5,-1230.2787,363.92203
282,-1230.2637,363.92297
282.5,-1230.2518,363.9239
283,-1230.2717,363.92526
283.5,-1230.2892,363.92633
284,-1230.2848,363.92734
284.5,-1230.2655,363.9282
285,-1230.2734,363.9293
285.5,-1230.238,363.93008
286,-1230.2351,363.93115
286.5,-1230.2062,363.93204
287,-1230.2014,363.933
287.5,-1230.2017,363.93396
288,-1230.2107,363.93503
288.5,-1230.2198,363.93588
289,-1230.2228,363.93698
289.5,-1230.2311,363.9383
290,-1230.288,363.9396
290.5,-1230.2993,363.94077
291,-1230.3126,363.9418
291.5,-1230.316,363.94287
292,-1230.3203,363.94418
292.5,-1230.322,363.94528
293,-1230.3239,363.94638
293.5,-1230.3187,363.94742
294,-1230.3113,363.9485
294.5,-1230.2926,363.9494
295,-1230.3492,363.95056
295.5,-1230.3529,363.95172
296,-1230.3185,363.9527
296.5,-1230.306,363.95374
297,-1230.2715,363.95462
297.5,-1230.246,363.95557
298,-1230.225,363.95667
298.5,-1230.2139,363.9577
299,-1230.2355,363.95877
299.5,-1230.2445,363.96
300,-1230.2279,363.96124
300.5,-1230.2262,363.96234
301,-1230.2184,363.96353
301.5,-1230.2219,363.96448
302,-1230.2141,363.96542
302.5,-1230.2281,363.96652
303,-1230.2372,363.96765
303.5,-1230.2467,363.96884
304,-1230.2522,363.97
304.5,-1230.2882,363.97128
305,-1230.3641,363.9726
305.5,-1230.382,363.97385
306,-1230.3845,363.97495
306.5,-1230.456,363.9765
307,-1230.4738,363.97757
307.5,-1230.4661,363.97852
308,-1230.4956,363.97977
308.5,-1230.5132,363.98083
309,-1230.4891,363.98203
309.5,-1230.4761,363.98297
310,-1230.4684,363.98392
310.5,-1230.4581,363.98505
311,-1230.4723,363.9863
311.5,-1230.4363,363.9873
312,-1230.4563,363.9883
312.5,-1230.4646,363.98935
313,-1230.4778,363.9904
313.5,-1230.464,363.99136
314,-1230.4764,363.9924
314.5,-1230.4905,363.99365
315,-1230.4586,363.9946
315.5,-1230.4225,363.99576
316,-1230.41,363.99704
316.5,-1230.4398,363.9981
317,-1230.4546,363.99933
317.5,-1230.4407,364.00052
318,-1230.4335,364.00238
318.5,-1230.4332,364.00348
319,-1230.4358,364.00458
319.5,-1230.4288,364.00574
320,-1230.4352,364.0067
320.5,-1230.4357,364.00793
321,-1230.433,364.00912
321.5,-1230.4283,364.0101
322,-1230.456,364.0113
322.5,-1230.4478,364.01242
323,-1230.4711,364.01358
323.5,-1230.4706,364.01462
324,-1230.5055,364.0159
324.5,-1230.4838,364.01694
325,-1230.494,364.01776
325.5,-1230.4998,364.0188
326,-1230.5051,364.01993
326.5,-1230.518,364.02112
327,-1230.5271,364.02225
327.5,-1230.5715,364.0235
328,-1230.5887,364.02466
328.5,-1230.6078,364.02567
329,-1230.6115,364.0267
329.5,-1230.6036,364.02783
330,-1230.6273,364.029
330.5,-1230.593,364.03006
331,-1230.5919,364.03113
331.5,-1230.5802,364.0323
332,-1230.5817,364.03317
332.5,-1230.5831,364.03424
333,-1230.5541,364.03528
333.5,-1230.5696,364.0364
334,-1230.4861,364.03708
334.5,-1230.4766,364.03793
335,-1230.4678,364.03897
335.5,-1230.4154,364.03995
336,-1230.4359,364.04102
336.5,-1230.4323,364.04202
337,-1230.4232,364.04288
337.5,-1230.4261,364.04395
338,-1230.4059,364.0449
338.5,-1230.3882,364.04578
339,-1230.3861,364.0469
339.5,-1230.3606,364.0478
340,-1230.36,364.04892
340.5,-1230.3462,364.04987
341,-1230.3347,364.05078
341.5,-1230.3262,364.0515
342,-1230.3392,364.0525
342.5,-1230.3936,364.05386
343,-1230.4125,364.05508
343.5,-1230.437,364.05627
344,-1230.4407,364.05734
344.5,-1230.4426,364.0584
345,-1230.4443,364.0595
345.5,-1230.4586,364.06052
346,-1230.466,364.06165
346.5,-1230.4788,364.06287
347,-1230.4866,364.06403
347.5,-1230.5094,364.0652
348,-1230.5118,364.06625
348.5,-1230.4723,364.06714
349,-1230.4233,364.06802
349.5,-1230.3865,364.06888
350,-1230.3721,364.06995
350.5,-1230.3696,364.07098
351,-1230.3695,364.0719
351.5,-1230.3644,364.07272
352,-1230.3657,364.07385
352.5,-1230.3688,364.07526
353,-1230.3726,364.07632
353.5,-1230.3839,364.0775
354,-1230.3651,364.07867
354.5,-1230.3596,364.07974
355,-1230.3676,364.08084
355.5,-1230.3839,364.08197
356,-1230.3861,364.08304
356.5,-1230.388,364.08414
357,-1230.3788,364.08505
357.5,-1230.3901,364.08624
358,-1230.4132,364.08743
358.5,-1230.4313,364.08847
